dataset,cow_id,view,has_rgb_png,has_depth_png,has_view_ply,has_top_level_ply,has_aligned_ply
CowDB,36,left,True,True,False,True,False
CowDB,36,right,True,True,False,True,False
CowDB,36,top,True,True,False,True,False
CowDB,37,left,True,True,False,True,False
CowDB,37,right,True,True,False,True,False
CowDB,37,top,True,True,False,True,False
CowDB,38,left,True,True,False,True,False
CowDB,38,right,True,True,False,True,False
CowDB,38,top,True,True,False,True,False
CowDB,39,left,True,True,False,True,False
CowDB,39,right,True,True,False,True,False
CowDB,39,top,True,True,False,True,False
CowDB,4,left,True,True,False,True,False
CowDB,4,right,True,True,False,True,False
CowDB,4,top,True,True,False,True,False
CowDB,40,left,True,True,False,True,False
CowDB,40,right,True,True,False,True,False
CowDB,40,top,True,True,False,True,False
CowDB,41,left,True,True,False,True,False
CowDB,41,right,True,True,False,True,False
CowDB,41,top,True,True,False,True,False
CowDB,42,left,True,True,False,True,False
CowDB,42,right,True,True,False,True,False
CowDB,42,top,True,True,False,True,False
CowDB,43,left,True,True,False,True,False
CowDB,43,right,True,True,False,True,False
CowDB,43,top,True,True,False,True,False
CowDB,44,left,True,True,False,True,False
CowDB,44,right,True,True,False,True,False
CowDB,44,top,True,True,False,True,False
CowDB,45,left,True,True,False,True,False
CowDB,45,right,True,True,False,True,False
CowDB,45,top,True,True,False,True,False
CowDB,46,left,True,True,False,True,False
CowDB,46,right,True,True,False,True,False
CowDB,46,top,True,True,False,True,False
CowDB,47,left,True,True,False,True,False
CowDB,47,right,True,True,False,True,False
CowDB,47,top,True,True,False,True,False
CowDB,48,left,True,True,False,True,False
CowDB,48,right,True,True,False,True,False
CowDB,48,top,True,True,False,True,False
CowDB,49,left,True,True,False,True,False
CowDB,49,right,True,True,False,True,False
CowDB,49,top,True,True,False,True,False
CowDB,5,left,True,True,False,True,False
CowDB,5,right,True,True,False,True,False
CowDB,5,top,True,True,False,True,False
CowDB,50,left,True,True,False,True,False
CowDB,50,right,True,True,False,True,False
CowDB,50,top,True,True,False,True,False
CowDB,51,left,True,True,False,True,False
CowDB,51,right,True,True,False,True,False
CowDB,51,top,True,True,False,True,False
CowDB,52,left,True,True,False,True,False
CowDB,52,right,True,True,False,True,False
CowDB,52,top,True,True,False,True,False
CowDB,53,left,True,True,False,True,False
CowDB,53,right,True,True,False,True,False
CowDB,53,top,True,True,False,True,False
CowDB,54,left,True,True,False,True,False
CowDB,54,right,True,True,False,True,False
CowDB,54,top,True,True,False,True,False
